year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;10;-7;23;90;155;183;171;189;157;86;20;-13;89;181;88;-12;158;21;89
1861;-47;25;52;71;118;190;198;208;161;104;36;-20;80;199;100;-19;158;25;91
1862;-32;-5;66;123;160;174;201;181;163;114;37;-8;116;185;105;16;167;44;98
1863;28;28;64;88;160;181;193;213;163;119;49;20;104;196;110;-18;166;28;109
1864;-70;-5;57;64;117;180;178;165;150;82;29;-38;79;174;87;-31;142;3;76
1865;-4;-50;-3;115;179;160;221;186;159;102;51;-5;97;189;104;13;170;40;93
1866;8;35;48;117;121;203;189;170;170;79;47;-8;95;187;99;9;162;31;98
1867;-8;44;29;101;140;176;186;201;163;89;23;-18;90;188;92;0;161;26;94
1868;-18;37;44;90;180;197;202;202;177;117;31;36;105;200;108;22;175;41;108
1869;-18;49;29;121;170;158;213;180;166;75;45;11;107;184;95;-16;168;14;100
1870;-14;-45;14;86;158;174;204;175;134;91;57;-42;86;184;94;-32;155;16;83
1871;-45;-10;45;91;112;149;199;193;155;73;25;-68;83;180;84;-27;150;13;77
1872;-17;4;62;118;167;170;201;172;157;121;58;33;116;181;112;13;164;48;104
1873;8;-1;66;86;112;173;216;209;136;118;52;11;88;199;102;-1;155;34;99
1874;-12;-2;36;112;104;181;222;175;169;98;8;-11;84;193;92;-23;161;6;90
1875;-6;-51;-5;83;154;203;196;199;138;73;28;-25;77;199;80;-29;162;11;82
1876;-53;-9;52;116;105;184;197;195;138;103;1;18;91;192;81;17;156;31;87
1877;10;22;33;77;117;198;190;207;121;76;46;-4;76;198;81;1;152;28;91
1878;-18;25;41;101;144;176;184;185;158;105;38;-21;95;182;100;-12;158;23;93
1879;-25;10;31;86;123;183;170;194;155;82;8;-76;80;182;82;-40;152;0;78
1880;-26;-18;32;113;125;173;210;171;150;92;49;38;90;185;97;-7;157;26;92
1881;-51;-9;38;65;134;171;211;190;128;61;29;5;79;191;73;8;150;34;81
1882;2;17;88;93;147;160;197;163;148;102;47;13;109;173;99;1;151;25;98
1883;-22;12;-1;70;147;179;191;181;144;96;37;7;72;184;92;13;152;37;87
1884;20;13;50;74;150;147;203;178;147;87;20;16;91;176;85;-4;150;24;92
1885;-42;13;47;116;122;193;201;169;147;93;40;-11;95;188;93;-19;158;14;91
1886;-19;-26;5;105;142;158;191;192;165;108;51;12;84;180;108;-16;159;22;90
1887;-40;-20;20;94;125;167;219;183;154;68;42;-13;80;190;88;-26;157;11;83
1888;-30;-35;32;79;151;176;177;177;143;77;16;1;87;177;79;-13;151;11;80
1889;-29;-12;10;91;175;199;193;176;119;106;29;-41;92;189;85;-19;159;23;85
1890;9;-25;58;89;154;158;186;204;137;85;37;-55;100;183;86;-48;155;3;86
1891;-64;-25;41;70;161;171;184;171;152;113;26;13;91;175;97;2;152;27;84
1892;-14;6;15;98;139;172;186;209;156;88;15;-20;84;189;86;-27;160;13;88
1893;-81;20;54;96;136;172;192;188;148;106;25;4;95;184;93;-5;155;29;88
1894;-43;24;59;125;146;159;205;179;130;98;42;-3;110;181;90;-30;157;12;93
1895;-30;-56;22;89;134;172;204;179;158;85;51;-5;82;185;98;-20;156;23;84
1896;-49;-5;58;71;124;179;196;160;145;112;29;-2;84;178;95;1;146;35;85
1897;-15;19;68;92;124;185;192;186;145;80;20;-5;95;188;82;6;154;29;91
1898;2;20;54;106;141;166;178;192;147;101;59;24;100;179;102;17;155;41;99
1899;21;5;37;95;132;166;193;180;142;78;62;-47;88;180;94;-5;151;23;89
1900;1;32;9;80;124;175;205;177;156;96;64;14;71;186;105;-24;153;20;94
