year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec
1860;41.0;35.5;27.5;78.5;71.5;58.5;60.5;48.0;35.5;31.0;37.5;43.5
1861;36.0;22.0;43.5;27.0;86.0;98.5;30.0;35.0;15.5;14.5;39.5;15.5
1862;49.5;41.0;12.0;42.0;113.0;44.5;38.5;59.0;33.0;32.5;39.5;36.5
1863;28.0;5.0;33.0;28.5;39.5;24.5;31.0;30.0;51.5;11.5;45.0;42.5
1864;3.0;34.0;67.5;39.5;53.5;97.0;43.5;61.0;75.0;28.5;33.5;15.0
1865;36.0;30.5;61.0;6.0;35.5;63.5;55.0;55.5;10.0;43.5;24.0;5.5
1866;21.0;22.0;80.0;17.0;47.0;22.0;63.0;87.5;43.0;13.0;24.0;62.0
1867;66.0;36.0;38.0;83.5;69.5;71.5;53.5;32.5;40.0;65.0;29.0;78.0
1868;36.5;17.5;66.5;48.0;74.0;44.5;56.5;34.5;20.5;51.0;26.0;59.5
1869;13.5;33.0;40.0;31.0;29.0;26.5;41.0;49.5;26.0;43.0;77.0;66.5
1870;44.5;20.5;30.0;27.0;40.5;55.5;108.5;81.5;44.0;70.0;68.0;58.5
1871;39.0;14.0;38.5;35.5;30.5;58.5;74.5;51.0;32.0;48.5;66.0;25.0
1872;40.0;20.0;28.5;20.0;51.5;68.5;49.0;116.5;55.5;46.0;60.5;28.0
1873;26.5;64.0;17.5;44.5;75.5;59.0;15.0;34.0;47.0;27.0;26.5;12.0
1874;15.5;24.0;38.0;36.0;79.0;132.5;41.0;61.5;32.5;11.0;41.5;87.0
1875;37.0;24.0;43.5;21.0;51.0;85.5;85.0;50.0;19.0;118.0;86.0;49.5
1876;26.0;90.5;59.5;25.0;62.0;60.0;21.5;48.5;70.0;38.5;46.0;53.5
1877;25.5;69.0;66.0;62.5;68.5;24.0;53.5;31.0;38.5;18.5;31.5;67.0
1878;64.5;16.5;63.5;32.0;40.0;73.5;110.0;57.5;62.5;69.0;102.0;51.5
1879;27.5;48.5;57.5;120.0;113.5;96.0;69.5;38.0;45.5;63.0;49.0;26.0
1880;14.0;32.5;31.5;43.0;141.5;65.0;33.5;110.5;56.5;51.0;39.0;76.0
1881;29.0;8.0;92.5;51.0;92.5;51.0;28.0;76.0;56.5;95.0;27.5;11.5
1882;4.0;19.0;13.5;52.5;43.5;43.0;146.5;85.0;107.0;47.5;74.0;75.0
1883;26.0;19.5;28.5;49.0;50.5;103.0;63.0;40.0;65.5;33.5;52.0;35.0
1884;21.5;5.5;31.0;74.5;15.5;92.5;40.0;103.5;17.5;107.0;22.0;51.5
1885;24.5;11.0;21.5;22.0;147.0;44.5;80.5;58.0;36.0;45.5;59.0;21.0
1886;77.0;26.5;55.0;61.5;24.5;142.0;30.0;30.5;13.0;41.5;28.5;72.0
1887;20.0;9.0;55.0;29.5;101.5;21.0;23.0;62.5;40.0;85.0;64.5;93.0
1888;44.5;78.0;22.0;127.5;21.0;81.5;53.5;50.5;28.5;60.5;22.5;24.5
1889;16.0;44.5;89.5;69.5;52.0;69.5;74.0;27.0;88.5;85.0;28.0;43.5
1890;40.0;1.5;17.0;88.5;29.0;60.0;47.5;63.5;39.0;31.0;69.5;18.5
1891;62.0;6.5;30.5;67.5;39.5;98.5;116.0;62.5;19.5;8.5;28.5;39.5
1892;61.5;44.0;45.0;36.0;61.5;97.0;54.0;32.5;70.5;66.0;8.0;34.5
1893;70.5;40.5;35.0;3.0;52.0;125.0;50.0;17.0;23.5;36.5;84.5;12.0
1894;3.5;16.5;16.0;40.5;63.0;61.0;42.5;50.0;55.5;103.5;13.5;21.5
1895;42.5;31.0;66.0;60.5;82.0;71.0;61.5;57.5;10.0;71.0;7.0;104.5
1896;23.0;22.0;38.0;62.0;71.5;52.5;70.5;160.5;36.0;31.0;39.0;27.0
1897;35.0;33.5;58.0;43.5;99.5;69.0;124.0;33.0;41.5;64.0;8.0;11.0
1898;17.0;26.0;35.5;79.0;101.5;70.5;43.5;52.0;47.0;61.0;24.0;15.5
1899;32.0;16.5;19.0;50.0;125.5;23.0;54.5;34.5;91.0;22.0;10.0;57.5
1900;85.5;30.5;90.5;52.5;90.0;59.0;56.0;49.0;16.5;75.0;68.5;42.5
